Team,City,Country,Stadium,Address,Capacity,Pitch
Bayreuth SpVgg,Bayreuth,Germany,,,,
Man. Utd,Mánchester,England,Old Trafford,Sir Matt Busby Way,76212,Natural
Liverpool,Liverpool,England,Anfield,Anfield Road,54074,Natural
Norwich City,Norwich,England,Carrow Road,Carrow Road,27033,Natural
Queens Park Range.,Londres,England,Loftus Road,South Africa Road,19100,Natural
Coventry City,Coventry,England,City of Coventry Stadium,"Phoenix Way, Rowleys Green",32609,Natural
Tottenham Hotspur,"Londres, Inglaterra",England,Tottenham Hotspur Stadium,"782 High Rd, London N17 0BX, Reino Unido",62062,Natural
Millwall,Londres,England,The Den,"Zampa Road, Bermondsey",20146,Natural
Chelsea,Londres,England,Stamford Bridge,Fulham Road,41841,Natural
Nottingham Forest,Nottingham,England,The City Ground,Pavilion Road,30576,Natural
Aston Villa,"Birmingham, Inglaterra",England,Villa Park,Trinity Road,42788,Natural
Derby County,Derby,England,iPro Stadium,"Pride Park, Royal Way",33597,Natural
Charlton Athletic,Londres,England,The Valley,"Floyd Road, Charlton",27111,Natural
Southampton,Southampton,England,St. Mary's Stadium,Britannia Road,32689,Natural
Luton Town,Luton,England,Kenilworth Road Stadium,,,
Wimbledon FC,,,,,,
Man. City,Mánchester,England,Etihad Stadium,Rowsley Street,55097,Natural
Crystal Palace,"Londres, Inglaterra",England,Selhurst Park,Holmesdale Road,26309,Natural
Sheffield,Sheffield,England,Hillsborough Stadium,"Penistone Road North, Hillsborough",39814,Natural
Everton,Liverpool,England,Goodison Park,Goodison Road,40569,Natural
Arsenal,Londres,England,Emirates Stadium,Queensland Road,60355,Natural
West Ham,Londres,England,London Stadium,"Queen Elizabeth Olympic Park, London E20 2ST, Reino Unido",80000,Natural
Blackburn Rovers,Blackburn,England,Ewood Park,Nuttall Street,31367,Natural
Sheffield United,Sheffield,England,Bramall Lane,Bramall Lane,32702,Natural
Ipswich Town,Ipswich,England,Portman Road Stadium,Portman Road,30311,Natural
Sunderland,Sunderland,England,Stadium of Light,Millenium Way,49000,Natural
Watford,Watford,England,Vicarage Road Stadium,Vicarage Road,19920,Natural
Newcastle,Newcastle upon Tyne,England,St. James' Park,St. James' Street,52389,Natural
Port Vale,Stoke-on-Trent,England,Vale Park,"Hamil Road, Burslem",19052,Natural
AFC Bournemouth,Bournemouth,England,Vitality Stadium,"Dean Court, Kings Park",12000,Natural
Leeds United,Leeds,England,Elland Road,Elland Road,40204,Natural
Plymouth Argyle,Plymouth,England,Home Park,Gilbert Lane,19500,Natural
Middlesbrough,Middlesbrough,England,Riverside Stadium,Dockside Road,34988,Natural
Brighton Hove Alb.,Brighton,England,The American Express Community Stadium,Village Way,30750,Natural
Barnsley,Barnsley,England,Oakwell Stadium,Grove Street,23009,Natural
Stoke City,Stoke-on-Trent,England,bet365 Stadium,Stanley Matthews Way,28383,Natural
Oldham Athletic,Oldham,England,Boundary Park,,13,
Leicester,Leicester,England,King Power Stadium,Eastern Boulevard,32500,Natural
Bradford City,Bradford,England,Coral Windows Stadium,Valley Parade,25136,Natural
Hull City,Kingston upon Hull,England,Kingston Communications Stadium,Walton Street / Anlaby Road,25504,Natural
Portsmouth,Portsmouth,England,Fratton Park,Frogmore Road,20821,Natural
Wolves,Wolverhampton,England,Molineux Stadium,Waterloo Road,29195,Natural
Swindon Town,Swindon,England,County Ground,County Road,15728,Natural
Oxford United,Oxford,England,The Kassam Stadium,Grenoble Road,12500,Natural
West Bromwich Alb.,West Bromwich,England,The Hawthorns,Halfords Lane,28003,Natural
Farense,Faro,Portugal,Estádio de São Lúis,Rua do Sporting Club Farense,12000,Natural
Famalicão,Famalicão,Portugal,Estádio Municipal 22 de Junho,,8000,
SC Salgueiros,Porto,Portugal,,,,
Gil Vicente,,Portugal,Estádio Cidade de Barcelos,"strada Nacional 103, Vila Boa",12374,Natural
Saint-Étienne,Saint-Étienne,France,Stade Geoffroy-Guichard,"14, rue Pierre et Paul Guichard 42018 Saint-Étienne",42000,Natural
Stade Rennais,Rennes,France,Roazhon Park,"111, route de Lorient",31127,Natural
Nancy,Tomblaine,France,Stade Marcel Picot,"90, boulevard Jean Jaurès 54510 Nancy",20087,Césped Artificial
SVV,,,,,,
Heerenveen,Heerenveen,Netherlands,Abe Lenstra Stadion,Abe Lenstra Boulevard 23Q,26800,Natural
Orihuela CF,Orihuela,Spain,Municipal Los Arcos,Camino Viejo de Molins,7000,Césped natural
Albacete,Albacete,Spain,Carlos Belmonte,Avenida de España s/n,17200,Césped natural
Lleida,,,,,,
Real Avilés,Avilés,Spain,Román Suárez Puerta,"Juan Ochoa, s/n.-Estadio R.Suárez Puerta",5400,Césped natural
Pisa,,Italy,Arena Garibaldi - Stadio Romeo Anconetani,"Via di Gello, 25",17500,Natural
Torino,"Turín, Italia",Italy,Stadio Olimpico di Torino,"Corso Sebastopoli 123, Santa Rita",27994,Natural
Parma,"Parma, Italia",Italy,Ennio Tardini,"Via Partigiani d'Italia, 1",28783,Natural
Cagliari,Cagliari,Italy,Sardegna Arena,Via Ludwig Van Beethoven,16200,Natural
Mainz 05,Mainz,Germany,Opel Arena,Eugen-Salomon-Straße 1,34034,Natural
VfB Oldenburg,,Germany,Marschwegstadion,Marschweg 54,15552,Natural
Havelse,Havelse,Germany,Wilhelm-Langrehr-Stadion,Hannoversche Straße 90-92,6000,Natural
Schweinfurt,Schweinfurt,Germany,,,,
Bristol City,Bristol,England,Ashton Gate Stadium,Ashton Road,21497,Natural
Notts County,Nottingham,England,Meadow Lane Stadium,Meadow Lane,19588,Natural
Bristol Rovers,Bristol,England,Memorial Stadium,"Filton Avenue, Horfield",11916,Natural
Paços Ferreira,Paços de Ferreira,Portugal,Estádio da Capital do Móvel,"Rua do Estádio, Apartado 26",6452,Natural
Torreense,Torres Vedras,Portugal,,,,
Estoril,Estoril,Portugal,Estádio António Coimbra da Mota,Rua Dom Bosco,8000,Natural
Le Havre,Havre,France,Stade Océane,Boulevard de Léningrad,25178,Natural
NÃ®mes,Nimes,France,Stade des Costières,"123, avenue de la Bouvine",18482,Natural
Lens,Lens,France,Stade Bollaert-Delelis,Avenue Alfred Maës 62300 Lens,38223,Natural
Dordrecht,Dordrecht,Netherlands,GN Bouw Stadion,Krommedijk 210,4088,Césped Artificial
De Graafschap,Doetinchem,Netherlands,Stadion De Vijverberg,Lijsterbeslaan 101a,12600,Natural
VVV Venlo,Venlo,Netherlands,Seacon Stadion De Koel,Kaldenkerkerweg 182,8000,Natural
Barcelona B,Barcelona,Spain,Estadio Johan Cruyff,,6000,Natural
Compostela,Santiago de Compostela,Spain,Estadio Municipal Vero Boquete de San Lázaro,"Avenida de Fernando de Casas Nova, San Lázaro",13000,Césped Natural
Mérida CP,,,,,,
Calcio Foggia,,Italy,,,,
Hansa Rostock,Rostock,Germany,DKB Arena,Kopernikusstraße 17,29000,Natural
Dynamo Dresden,Dresden,Germany,DDV-Stadion,Lennéstraße 12 1069 Dresden,32066,Natural
Hallescher FC,,Germany,ERDGAS Sportpark,Kantstraße 2,15057,Natural
Carl Zeiss Jena,,Germany,Ernst-Abbe-Sportfeld,"Oberaue 3, 7745 Jena",,
Chemnitzer,Chemnitz,Germany,,,,
Rot-Weiss Erfurt,,Germany,Steigerwaldstadion,Arnstädter Straße 55,19439,Natural
1860 München,München,Germany,Grünwalder Stadion,"Grünwalder Str. 2-4, 81547 München",75000,Natural
Lokomotive Leipzig,Leipzig,Germany,,,,
Cambridge United,Cambridge,England,The R Costings Abbey Stadium,Newmarket Road,10847,Natural
Tranmere Rovers,Wirral,England,Prenton Park,Prenton Road West,16587,Natural
Grimsby Town,Grimsby,England,Blundell Park,Blundell Park,9546,
