Home_Team,Away_Team,Result,Link,Season,Round,League
Vitória,Portimonense,0-1,/match/vitoria-guimar/portimonense/2016,2016,18,segunda_liga
Olhanense,Oriental Lisboa,1-0,/match/sc-olhanense/oriental-lisboa/2016,2016,18,segunda_liga
Sporting CP II,Academico Viseu,4-2,/match/sporting-cp-ii/academico-viseu/2016,2016,18,segunda_liga
Chaves,Desportivo Aves,2-1,/match/chaves/desportivo-aves/2016,2016,18,segunda_liga
Leixões,Benfica II,2-0,/match/leixoes/benfica-ii/2016,2016,18,segunda_liga
Porto II,Farense,4-3,/match/porto-ii/farense/2016,2016,18,segunda_liga
UD Oliveirense,Gil Vicente,1-2,/match/ud-oliveirense/gil-vicente/2016,2016,18,segunda_liga
Famalicão,Sporting Braga II,1-2,/match/famalicao/sporting-braga-ii/2016,2016,18,segunda_liga
Penafiel,Mafra,1-1,/match/penafiel/mafra/2016,2016,18,segunda_liga
Varzim,Feirense,0-1,/match/varzim/feirense/2016,2016,18,segunda_liga
Feirense,Porto II,1-0,/match/feirense/porto-ii/2016,2016,19,segunda_liga
CD Santa Clara,Penafiel,3-2,/match/santa-clara/penafiel/2016,2016,19,segunda_liga
Sporting Braga II,Vitória,2-1,/match/sporting-braga-ii/vitoria-guimar/2016,2016,19,segunda_liga
Desportivo Aves,Academico Viseu,1-2,/match/desportivo-aves/academico-viseu/2016,2016,19,segunda_liga
SP. Covilhã,Varzim,2-1,/match/sporting-covilha/varzim/2016,2016,19,segunda_liga
SC Freamunde,Leixões,0-0,/match/sc-freamunde/leixoes/2016,2016,19,segunda_liga
Mafra,UD Oliveirense,2-0,/match/mafra/ud-oliveirense/2016,2016,19,segunda_liga
Gil Vicente,Chaves,1-1,/match/gil-vicente/chaves/2016,2016,19,segunda_liga
Oriental Lisboa,Famalicão,0-1,/match/oriental-lisboa/famalicao/2016,2016,19,segunda_liga
Benfica II,Sporting CP II,1-0,/match/benfica-ii/sporting-cp-ii/2016,2016,19,segunda_liga
Portimonense,Atlético CP,1-2,/match/portimonense/atletico-cp/2016,2016,19,segunda_liga
Farense,Olhanense,1-2,/match/farense/sc-olhanense/2016,2016,19,segunda_liga
Sporting Braga II,Porto II,2-0,/match/sporting-braga-ii/porto-ii/2016,2016,20,segunda_liga
Atlético CP,Farense,0-1,/match/atletico-cp/farense/2016,2016,20,segunda_liga
Chaves,Mafra,1-0,/match/chaves/mafra/2016,2016,20,segunda_liga
Leixões,Oriental Lisboa,3-3,/match/leixoes/oriental-lisboa/2016,2016,20,segunda_liga
Penafiel,Portimonense,1-1,/match/penafiel/portimonense/2016,2016,20,segunda_liga
Vitória,Benfica II,3-0,/match/vitoria-guimar/benfica-ii/2016,2016,20,segunda_liga
Sporting CP II,Desportivo Aves,1-0,/match/sporting-cp-ii/desportivo-aves/2016,2016,20,segunda_liga
Olhanense,SP. Covilhã,2-1,/match/sc-olhanense/sporting-covilha/2016,2016,20,segunda_liga
UD Oliveirense,Feirense,3-1,/match/ud-oliveirense/feirense/2016,2016,20,segunda_liga
Academico Viseu,Gil Vicente,1-1,/match/academico-viseu/gil-vicente/2016,2016,20,segunda_liga
Famalicão,SC Freamunde,1-3,/match/famalicao/sc-freamunde/2016,2016,20,segunda_liga
Varzim,CD Santa Clara,1-1,/match/varzim/santa-clara/2016,2016,20,segunda_liga
Gil Vicente,Desportivo Aves,1-0,/match/gil-vicente/desportivo-aves/2016,2016,21,segunda_liga
Benfica II,Sporting Braga II,1-1,/match/benfica-ii/sporting-braga-ii/2016,2016,21,segunda_liga
SP. Covilhã,Vitória,0-1,/match/sporting-covilha/vitoria-guimar/2016,2016,21,segunda_liga
Famalicão,Leixões,3-0,/match/famalicao/leixoes/2016,2016,21,segunda_liga
SC Freamunde,Olhanense,3-1,/match/sc-freamunde/sc-olhanense/2016,2016,21,segunda_liga
Mafra,Varzim,1-1,/match/mafra/varzim/2016,2016,21,segunda_liga
Oriental Lisboa,Penafiel,0-1,/match/oriental-lisboa/penafiel/2016,2016,21,segunda_liga
Farense,Chaves,1-1,/match/farense/chaves/2016,2016,21,segunda_liga
Portimonense,UD Oliveirense,1-2,/match/portimonense/ud-oliveirense/2016,2016,21,segunda_liga
CD Santa Clara,Atlético CP,2-2,/match/santa-clara/atletico-cp/2016,2016,21,segunda_liga
Feirense,Academico Viseu,2-0,/match/feirense/academico-viseu/2016,2016,21,segunda_liga
Porto II,Sporting CP II,4-0,/match/porto-ii/sporting-cp-ii/2016,2016,21,segunda_liga
Benfica II,Porto II,0-3,/match/benfica-ii/porto-ii/2016,2016,22,segunda_liga
Chaves,Portimonense,2-2,/match/chaves/portimonense/2016,2016,22,segunda_liga
Vitória,Sporting CP II,1-0,/match/vitoria-guimar/sporting-cp-ii/2016,2016,22,segunda_liga
Atlético CP,Famalicão,1-0,/match/atletico-cp/famalicao/2016,2016,22,segunda_liga
Desportivo Aves,Farense,2-0,/match/desportivo-aves/farense/2016,2016,22,segunda_liga
Sporting Braga II,CD Santa Clara,2-0,/match/sporting-braga-ii/santa-clara/2016,2016,22,segunda_liga
UD Oliveirense,SP. Covilhã,1-1,/match/ud-oliveirense/sporting-covilha/2016,2016,22,segunda_liga
Gil Vicente,Feirense,1-0,/match/gil-vicente/feirense/2016,2016,22,segunda_liga
Olhanense,Leixões,0-2,/match/sc-olhanense/leixoes/2016,2016,22,segunda_liga
Academico Viseu,Mafra,2-1,/match/academico-viseu/mafra/2016,2016,22,segunda_liga
Varzim,Oriental Lisboa,2-0,/match/varzim/oriental-lisboa/2016,2016,22,segunda_liga
Penafiel,SC Freamunde,1-2,/match/penafiel/sc-freamunde/2016,2016,22,segunda_liga
Feirense,Chaves,0-1,/match/feirense/chaves/2016,2016,23,segunda_liga
SP. Covilhã,Academico Viseu,2-2,/match/sporting-covilha/academico-viseu/2016,2016,23,segunda_liga
Famalicão,Penafiel,1-1,/match/famalicao/penafiel/2016,2016,23,segunda_liga
Farense,Gil Vicente,0-2,/match/farense/gil-vicente/2016,2016,23,segunda_liga
Leixões,UD Oliveirense,3-1,/match/leixoes/ud-oliveirense/2016,2016,23,segunda_liga
Portimonense,Varzim,2-0,/match/portimonense/varzim/2016,2016,23,segunda_liga
Sporting CP II,Sporting Braga II,0-1,/match/sporting-cp-ii/sporting-braga-ii/2016,2016,23,segunda_liga
Porto II,Vitória,5-2,/match/porto-ii/vitoria-guimar/2016,2016,23,segunda_liga
Oriental Lisboa,Atlético CP,2-1,/match/oriental-lisboa/atletico-cp/2016,2016,23,segunda_liga
Mafra,Desportivo Aves,1-1,/match/mafra/desportivo-aves/2016,2016,23,segunda_liga
CD Santa Clara,Olhanense,1-0,/match/santa-clara/sc-olhanense/2016,2016,23,segunda_liga
SC Freamunde,Benfica II,1-0,/match/sc-freamunde/benfica-ii/2016,2016,23,segunda_liga
Oriental Lisboa,UD Oliveirense,5-2,/match/oriental-lisboa/ud-oliveirense/2016,2016,24,segunda_liga
Sporting Braga II,Chaves,1-3,/match/sporting-braga-ii/chaves/2016,2016,24,segunda_liga
Benfica II,Olhanense,2-3,/match/benfica-ii/sc-olhanense/2016,2016,24,segunda_liga
Portimonense,Porto II,2-1,/match/portimonense/porto-ii/2016,2016,24,segunda_liga
Feirense,Sporting CP II,2-0,/match/feirense/sporting-cp-ii/2016,2016,24,segunda_liga
SP. Covilhã,Desportivo Aves,0-3,/match/sporting-covilha/desportivo-aves/2016,2016,24,segunda_liga
Mafra,Gil Vicente,0-1,/match/mafra/gil-vicente/2016,2016,24,segunda_liga
Famalicão,Varzim,0-1,/match/famalicao/varzim/2016,2016,24,segunda_liga
Farense,Academico Viseu,1-0,/match/farense/academico-viseu/2016,2016,24,segunda_liga
