,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
223,Napoli,Roma,03-Jan,Sun 18 Feb ,/match/napoli/roma/1990,1990,25,serie_a
224,Atalanta,Juventus,01-Feb,Sun 18 Feb ,/match/atalanta/juventus-fc/1990,1990,25,serie_a
225,Udinese,Cesena,1-0,Sun 25 Feb ,/match/udinese/ac-cesena/1990,1990,26,serie_a
226,SSC Bari,Lecce,0-1,Sun 25 Feb ,/match/as-bari/lecce/1990,1990,26,serie_a
227,Cremonese,Hellas Verona,01-Jan,Sun 25 Feb ,/match/us-cremonese/hellas-verona-fc/1990,1990,26,serie_a
228,Ascoli,Atalanta,01-Jan,Sun 25 Feb ,/match/ascoli/atalanta/1990,1990,26,serie_a
229,Sampdoria,Fiorentina,3-0,Sun 25 Feb ,/match/sampdoria/fiorentina/1990,1990,26,serie_a
230,Bologna,Lazio,01-Jan,Sun 25 Feb ,/match/bologna/lazio/1990,1990,26,serie_a
231,Juventus,Genoa,01-Jan,Sun 25 Feb ,/match/juventus-fc/genoa/1990,1990,26,serie_a
232,Inter,Napoli,03-Jan,Sun 25 Feb ,/match/internazionale/napoli/1990,1990,26,serie_a
233,Roma,Milan,0-4,Sun 25 Feb ,/match/roma/milan/1990,1990,26,serie_a
234,Cesena,SSC Bari,02-Feb,Sun 04 Mar ,/match/ac-cesena/as-bari/1990,1990,27,serie_a
235,Lecce,Roma,0-2,Sun 04 Mar ,/match/lecce/roma/1990,1990,27,serie_a
236,Hellas Verona,Udinese,2-0,Sun 04 Mar ,/match/hellas-verona-fc/udinese/1990,1990,27,serie_a
237,Fiorentina,Cremonese,0-0,Sun 04 Mar ,/match/fiorentina/us-cremonese/1990,1990,27,serie_a
238,Lazio,Inter,02-Jan,Sun 04 Mar ,/match/lazio/internazionale/1990,1990,27,serie_a
239,Napoli,Genoa,02-Jan,Sun 04 Mar ,/match/napoli/genoa/1990,1990,27,serie_a
240,Sampdoria,Juventus,0-0,Sun 04 Mar ,/match/sampdoria/juventus-fc/1990,1990,27,serie_a
241,Milan,Ascoli,02-Jan,Sun 04 Mar ,/match/milan/ascoli/1990,1990,27,serie_a
242,Atalanta,Bologna,0-0,Sun 04 Mar ,/match/atalanta/bologna/1990,1990,27,serie_a
243,Lecce,Napoli,01-Jan,Sun 11 Mar ,/match/lecce/napoli/1990,1990,28,serie_a
244,Udinese,Cremonese,01-Jan,Sun 11 Mar ,/match/udinese/us-cremonese/1990,1990,28,serie_a
245,Ascoli,Cesena,0-0,Sun 11 Mar ,/match/ascoli/ac-cesena/1990,1990,28,serie_a
246,Genoa,SSC Bari,0-0,Sun 11 Mar ,/match/genoa/as-bari/1990,1990,28,serie_a
247,Bologna,Fiorentina,1-0,Sun 11 Mar ,/match/bologna/fiorentina/1990,1990,28,serie_a
248,Inter,Hellas Verona,0-0,Sun 11 Mar ,/match/internazionale/hellas-verona-fc/1990,1990,28,serie_a
249,Roma,Sampdoria,01-Jan,Sun 11 Mar ,/match/roma/sampdoria/1990,1990,28,serie_a
