Position,Team,Points,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Season,Round,League
13,Ascoli,6,1,4,3,7,10,18,1990,8,serie_a
14,Fiorentina,5,1,3,4,7,11,18,1990,8,serie_a
15,Cremonese,5,1,3,4,6,10,18,1990,8,serie_a
16,Udinese,5,1,3,4,10,15,18,1990,8,serie_a
17,Cesena,5,1,3,4,3,8,18,1990,8,serie_a
18,Hellas Verona,3,0,3,5,5,12,18,1990,8,serie_a
1,Napoli,15,6,3,0,14,5,18,1990,9,serie_a
2,Juventus,12,5,2,2,17,10,18,1990,9,serie_a
3,Sampdoria,12,5,2,2,13,9,18,1990,9,serie_a
4,Inter,12,5,2,2,13,10,18,1990,9,serie_a
5,Roma,11,4,3,2,11,8,18,1990,9,serie_a
6,Lazio,10,3,4,2,10,6,18,1990,9,serie_a
7,Milan,10,4,2,3,10,8,18,1990,9,serie_a
8,Bologna,10,2,6,1,10,10,18,1990,9,serie_a
9,Atalanta,10,5,0,4,8,8,18,1990,9,serie_a
10,Lecce,10,4,2,3,8,9,18,1990,9,serie_a
11,Genoa,8,3,2,4,10,11,18,1990,9,serie_a
12,Fiorentina,7,2,3,4,10,12,18,1990,9,serie_a
13,SSC Bari,7,1,5,3,9,12,18,1990,9,serie_a
14,Cremonese,6,1,4,4,7,11,18,1990,9,serie_a
15,Ascoli,6,1,4,4,7,11,18,1990,9,serie_a
16,Udinese,6,1,4,4,11,16,18,1990,9,serie_a
17,Cesena,6,1,4,4,4,9,18,1990,9,serie_a
18,Hellas Verona,4,0,4,5,6,13,18,1990,9,serie_a
1,Napoli,16,6,4,0,15,6,18,1990,10,serie_a
2,Juventus,14,6,2,2,18,10,18,1990,10,serie_a
3,Inter,14,6,2,2,16,10,18,1990,10,serie_a
4,Roma,13,5,3,2,13,9,18,1990,10,serie_a
5,Sampdoria,12,5,2,3,13,10,18,1990,10,serie_a
6,Bologna,11,2,7,1,10,10,18,1990,10,serie_a
7,Atalanta,11,5,1,4,8,8,18,1990,10,serie_a
8,Milan,10,4,2,4,10,9,18,1990,10,serie_a
9,Lazio,10,3,4,3,10,9,18,1990,10,serie_a
10,Lecce,10,4,2,4,9,11,18,1990,10,serie_a
